game_id,league_id,season,date,home_team_id,away_team_id,home_goals,away_goals,home_prob,draw_prob,away_prob,home_goals_half_time,away_goals_half_time
442,1,2015,5/7/2016,77,80,3,2,0.1323,0.2196,0.6481,1,2
4492,1,2014,3/7/2015,202,82,1,2,0.1602,0.1916,0.6482,0,1
9424,1,2018,1/20/2019,228,82,1,2,0.1402,0.2116,0.6482,1,0
6212,5,2014,8/24/2014,178,210,0,1,0.1317,0.22,0.6483,0,1
4085,4,2016,5/14/2017,144,148,1,4,0.1108,0.2409,0.6483,0,2
14829,4,2020,10/18/2020,156,157,0,0,0.0898,0.2619,0.6483,0,0
11728,1,2019,10/19/2019,75,92,2,1,0.1307,0.2209,0.6484,1,1
10495,3,2018,1/20/2019,234,122,1,3,0.1279,0.2235,0.6486,1,1
3648,2,2016,4/8/2017,108,114,1,1,0.1334,0.2178,0.6488,1,1
10299,4,2018,4/28/2019,146,156,0,1,0.0965,0.2546,0.6489,0,0
5069,2,2014,10/4/2014,94,116,1,0,0.1371,0.2139,0.649,0,0
2708,1,2016,11/26/2016,91,76,1,1,0.0977,0.2533,0.649,0,1
5471,4,2014,5/3/2015,142,155,1,2,0.1275,0.2233,0.6492,1,1
9776,2,2018,1/19/2019,99,230,1,2,0.1443,0.2064,0.6493,0,1
10441,3,2018,11/24/2018,121,132,1,3,0.1745,0.1761,0.6494,0,1
10002,4,2018,9/23/2018,151,138,2,6,0.1703,0.1803,0.6494,1,4
6188,5,2014,8/9/2014,169,175,0,2,0.0911,0.2592,0.6497,0,1
10035,4,2018,10/5/2018,147,140,1,3,0.122,0.2282,0.6498,1,1
5646,4,2014,1/3/2015,137,208,1,2,0.1058,0.2444,0.6498,0,1
8457,3,2017,2/17/2018,134,128,1,1,0.0682,0.2819,0.6499,1,1
9999,4,2018,9/22/2018,142,143,0,2,0.1072,0.2426,0.6502,0,1
2240,5,2015,5/14/2016,175,160,0,1,0.1048,0.2448,0.6504,0,1
3811,3,2016,4/2/2017,119,131,3,3,0.1139,0.2353,0.6508,1,0
9572,1,2018,5/12/2019,75,80,0,0,0.0796,0.2696,0.6508,0,0
9210,1,2018,8/18/2018,75,229,2,0,0.0571,0.292,0.6509,2,0
7383,1,2017,2/11/2018,86,89,1,0,0.1233,0.2257,0.651,0,0
16064,5,2020,4/4/2021,168,170,1,2,0.1361,0.2121,0.6518,1,2
15772,2,2020,5/8/2021,260,105,1,4,0.124,0.2241,0.6519,0,3
2829,3,2016,11/26/2016,132,129,2,1,0.1175,0.2303,0.6522,0,0
